,path,distance
270,PILL/00093-0757-01_PART_1_OF_1_CHAL10_SB_AC2B561A.jpg,0.0
124,PILL/00093-5118-98_PART_1_OF_1_CHAL10_SF_452D2299.jpg,6.90989496960337e-05
177,PILL/00093-5117-98_PART_1_OF_1_CHAL10_SF_522D2929.jpg,0.0003748381380767052
12,PILL/00093-5118-98_PART_1_OF_1_CHAL10_SB_452D2299.jpg,0.00039321424559035645
181,PILL/00093-0757-01_PART_1_OF_1_CHAL10_SF_AC2B561A.jpg,0.000489974370571411
59,PILL/00093-5117-98_PART_1_OF_1_CHAL10_SB_522D2929.jpg,0.0005255413075468396
228,PILL/00093-4030-01_PART_1_OF_1_CHAL10_SF_04268274.jpg,0.0019296043148742115
71,PILL/00093-3160-06_PART_1_OF_1_CHAL10_SB_FB297DFB.jpg,0.0020819813973610435
67,PILL/00093-4030-01_PART_1_OF_1_CHAL10_SB_20271038.jpg,0.0033759772565743473
9,PILL/00093-4030-01_PART_1_OF_1_CHAL10_SF_20271038.jpg,0.0042470573959471625
266,PILL/00093-3160-06_PART_1_OF_1_CHAL10_SF_FB297DFB.jpg,0.004520665901262988
284,PILL/00093-4030-01_PART_1_OF_1_CHAL10_SB_04268274.jpg,0.004864072494669525
278,PILL/00093-0756-01_PART_1_OF_1_CHAL10_SB_A82B540A.jpg,0.008441833386260256
61,PILL/00093-3123-01_PART_1_OF_1_CHAL10_SF_EB26F597.jpg,0.009149828440716712
131,PILL/00093-3125-01_PART_1_OF_1_CHAL10_SF_DD26EEA7.jpg,0.009149828440716712
128,PILL/00093-3125-01_PART_1_OF_1_CHAL10_SB_DD26EEA7.jpg,0.010494931425164
179,PILL/00093-1049-98_PART_1_OF_1_CHAL10_SB_CE29E75F.jpg,0.023217247097844174
34,PILL/00093-2210-98_PART_1_OF_1_CHAL10_SF_B827DC6E.jpg,0.023217247097844174
237,PILL/00093-1049-98_PART_1_OF_1_CHAL10_SF_CE29E75F.jpg,0.023217247097844174
36,PILL/00093-7366-56_PART_1_OF_1_CHAL10_SB_B12FD8DE.jpg,0.03584350972410677
206,PILL/00093-1118-01_PART_1_OF_1_CHAL10_SF_D32969BB.jpg,0.0476744186046511
149,PILL/00093-1118-01_PART_1_OF_1_CHAL10_SB_D32969BB.jpg,0.049526270456502985
293,PILL/00093-0756-01_PART_1_OF_1_CHAL10_SF_A82B540A.jpg,0.05885666009574775
56,PILL/00093-3193-01_PART_1_OF_1_CHAL10_SF_AD29569A.jpg,0.06804478897502159
37,PILL/00093-7334-01_PART_1_OF_1_CHAL10_SF_A929548A.jpg,0.07100775193798453
209,PILL/00093-0576-06_PART_1_OF_1_CHAL10_SF_6026B005.jpg,0.07109214012363857
52,PILL/00093-0576-06_PART_1_OF_1_CHAL10_SB_6026B005.jpg,0.07315334580771632
7,PILL/00074-9189-90_PART_1_OF_1_CHAL10_SF_DF1DEFBF.jpg,0.07364341085271325
152,PILL/00093-3127-01_PART_1_OF_1_CHAL10_SF_C12DE08F.jpg,0.07441052971576229
230,PILL/00093-3127-01_PART_1_OF_1_CHAL10_SB_C12DE08F.jpg,0.0746970723263341
189,PILL/00093-7334-01_PART_1_OF_1_CHAL10_SB_A929548A.jpg,0.07605279698302952
203,PILL/00093-0576-06_PART_1_OF_1_CHAL10_SB_DB23EDBF.jpg,0.07627524164991867
86,PILL/00093-0576-06_PART_1_OF_1_CHAL10_SF_DB23EDBF.jpg,0.07719249089380781
234,PILL/00093-2210-98_PART_1_OF_1_CHAL10_SB_B827DC6E.jpg,0.0787728026533997
0,PILL/00093-4069-01_PART_1_OF_1_CHAL10_SB_E126F0B7.jpg,0.07906501165168583
102,PILL/00093-4069-01_PART_1_OF_1_CHAL10_SF_E126F0B7.jpg,0.08027399931743945
233,PILL/00093-0734-01_PART_1_OF_1_CHAL10_SF_6C2B3609.jpg,0.08100775193798443
33,PILL/00093-0734-01_PART_1_OF_1_CHAL10_SB_6C2B3609.jpg,0.08100775193798443
